gene1	gene2	raw_edge_score
80724	116285	0.37347813257601037
80724	123876	-0.04915867688274318
80724	348158	0.05397018636266289
80724	6296	0.18116809431083047
80724	54988	0.36497026050442977
80724	84532	0.1815046083117658
80724	55902	0.05921054754264172
80724	79611	0.17863408754232762
80724	58	-0.10850829335215949
80724	59	0.1384324368439219
80724	345651	-0.29037376234193263
80724	60	-0.021957585232513475
80724	70	0.0709218869465435
80724	71	-0.03480447382284353
80724	72	-0.1141677026553044
80724	86	-0.17088253551365548
80724	51412	0.020969408896728655
80724	10881	0.08679714967094464
80724	10880	0.0865224713737913
80724	81569	0.0001001356755233676
80724	284382	-0.135664350821929
84129	27034	0.08992766894978105
84129	28976	0.10702510222925714
84129	33	0.10122747293287486
84129	34	-0.03816645775986637
84129	36	0.16167209318656772
84129	35	0.2693924766369213
84129	37	0.3041624905615236
84129	176	-0.04078629203110476
84129	9744	0.2081859981593047
84129	23527	0.09305589241172961
84129	116983	0.19673731658517515
84129	38	-0.060245349511021555
84129	39	-0.13609545787840416
84129	64746	-0.1234031148751301
84129	79777	0.3667794665209308
84129	91452	-0.07981434138805413
84129	84320	0.10012502454689907
84129	414149	-0.07164546396174297
84129	40	0.2133695483243884
84129	41	0.045846133619553545
84129	9311	0.10656563223156437
84129	55515	0.29846983226255824
84129	390110	0.06926369505365787
84129	84680	0.47415229169396644
84129	65057	-0.004875486934514235
84129	59272	-0.27267311834739133
84129	125981	0.10052647703724688
84129	340485	-0.059735488662664094
84129	55331	-0.0284483789560502
84129	1636	0.06808790240067134
84129	43	-0.10201204466799696
84129	22985	0.35654554464345917
84129	47	-0.18215357147842196
84129	130013	0.2903883078271944
84129	57001	-0.031060887262036624
84129	48	0.0811621427400103
84129	50	-0.1665120363991053
84129	26027	0.058373835492681804
84129	134526	0.24028472065999945
84129	55856	-0.226624412503501
84129	641371	0.1317043980933645
84129	10965	0.10331092731715369
84129	122970	0.0890001275548803
84129	641372	0.011256788234095746
84129	11332	-0.1297052966882644
84129	10005	0.09446467198428023
84129	23597	-0.08775887136528973
84129	51	-0.3378666761963041
84129	8309	0.027155084181193584
84129	8310	0.08953250856356312
84129	55289	0.08067271580432771
84129	52	-0.08283646819630398
84129	53	-0.20587062099178033
84129	54	-0.12529391390515418
84129	51205	0.30984006471561565
84129	92370	0.24379089909431792
84129	55	-0.07440416340217787
84129	93650	0.23098779032750075
84129	84519	0.20351204317809657
84129	93953	0.4055030454754412
84129	56	-0.0715358311221489
84129	49	0.11086837409204993
84129	23205	-0.09753797137804723
84129	81616	0.09873746407983734
84129	80221	0.006970585804522034
84129	197322	0.09633531445679806
84129	2180	-0.01856889259645015
84129	2181	-0.19575552006175803
84129	2182	0.09625399094882234
84129	51703	0.11778303797779856
84129	23305	-0.002027835588418233
84129	116285	0.06644460657758766
84129	123876	0.17042946369489265
84129	348158	0.10749985158247133
